,Transit ID,Datum,Měna,Region,Region ID,Poslytovatel dopravy,Doprava,Pohonné hmoty,Typ skladu,Zaměstnanec
0,1000,2022-07-30,CZK,"Ústecký kraj,Vysočina",1,Geis,kamion,natural95,centrální,Daniel Podach
1,1001,2022-04-04,CZK,Moravskoslezský kraj,1,Geis,kamion,natural95,centrální,Daniel Podach
2,1002,2022-09-19,EUR,Liberecký kraj,0,Toptrans,kamion,natural95,tranzitní,Jiří Zeman
3,1003,2022-09-15,CZK,Hlavní město Praha,0,Spedquick Třebíč,vlak,natural95,regionální,Jiří Zeman
4,1004,2022-09-29,CZK,Liberecký kraj,11,Pap Trutnov,vlak,natural95,regionální,Karel Barel
5,1005,2022-06-16,CZK,Olomoucký kraj,5,Spedquick Třebíč,vlak,diesel,tranzitní,Daniel Podach
6,1006,2022-07-06,EUR,Moravskoslezský kraj,6,Geis,vlak,natural95,centrální,Daniel Podach
7,1007,2022-08-25,CZK,Královehradecký kraj,10,Spedquick Třebíč,nákladní vozidlo,natural95,regionální,Jiří Zeman
8,1008,2022-10-15,EUR,Olomoucký kraj,2,GLS,vlak,natural95,tranzitní,Josef Vošouch
9,1009,2022-03-30,EUR,Jihomoravský kraj,8,Geis,nákladní vozidlo,natural95,regionální,Jiří Zeman
10,1010,2022-08-04,CZK,Karlovarský kraj,2,Spedquick Třebíč,kamion,diesel,tranzitní,Josef Vošouch
11,1011,2022-10-23,EUR,Moravskoslezský kraj,0,Spedquick Třebíč,nákladní vozidlo,natural95,centrální,Josef Vošouch
12,1012,2022-10-26,EUR,Zlínský kraj,5,Geis,nákladní vozidlo,natural95,regionální,Karel Barel
13,1013,2022-06-30,CZK,Královehradecký kraj,7,Toptrans,vlak,natural95,tranzitní,Daniel Podach
14,1014,2022-04-10,CZK,Pardubický kraj,5,GLS,nákladní vozidlo,diesel,regionální,Josef Vošouch
15,1015,2022-09-12,EUR,Plzeňský kraj,1,Toptrans,kamion,natural95,tranzitní,Jan Novák
